Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Vigil of Heroes,3569624585,"""6917529079316438429""",,Legendary,Chest Armor,strikes,Warlock,511,Void Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,0,2,2,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 4 Armor*,Vanguard Veteran*,Unflinching Rifle Aim*,Unflinching Large Arms,Pulse Rifle Reserves*,Primary Ammo Finder,,
Prodigal Cloak,1693706589,"""6917529086274906069""",,Legendary,Hunter Cloak,,Hunter,650,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Innervation*,Recuperation,Rocket Launcher Reserves*,Rocket Launcher Scavenger,,,,,,
Dragonfly Regalia Robes,4118548161,"""6917529081190889896""",,Legendary,Chest Armor,eververse,Warlock,10,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,1,,Tier 1 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Unflinching Sidearm Aim*,Unflinching Large Arms,Auto Rifle Reserves*,Scout Rifle Reserves,,,
Reverie Dawn Tabard,2859583726,"""6917529081099045808""",,Legendary,Chest Armor,dreaming,Warlock,591,Arc Damage Resistance,1,Vault,false,false,2,4,,5,2,3,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 1 Armor*,Noble Constant Red*,Unflinching Grenade Launcher Aim*,Unflinching Linear Fusion Aim,Unflinching Scout Rifle Aim,Hand Cannon Reserves*,Pulse Rifle Reserves
Vigil of Heroes,2592351697,"""6917529082015854904""",,Legendary,Leg Armor,strikes,Warlock,600,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Vanguard Veteran*,Submachine Gun Dexterity*,Sniper Rifle Dexterity,Hand Cannon Scavenger*,Special Ammo Finder,,
Prodigal Hood,2012084760,"""6917529085139573360""",,Legendary,Helmet,,Warlock,598,Arc Damage Resistance,1,Vault,false,false,2,4,,5,2,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Heavy Lifting*,Energy Weapon Targeting,Fusion Rifle Reserves*,Shotgun Reserves,,,
The Outlander's Steps,3880804895,"""6917529097096914765""",,Rare,Leg Armor,,Hunter,687,,,Vault,false,false,2,4,,N/A,N/A,0,1,1,,Survivalist Hunter Armor*,Metallic Sunset*,Kinetic Dexterity*,,,,,,,,
Scatterhorn Boots,1704861826,"""6917529080558593486""",,Legendary,Leg Armor,tangled,Warlock,577,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Tangled Rust*,Hand Cannon Dexterity*,Outreach,Auto Rifle Scavenger*,Special Ammo Finder,,
Mythos Hack 4.1,2159062493,"""6917529097101360778""",,Rare,Helmet,,Hunter,688,,,Vault,false,false,2,4,,N/A,N/A,1,1,0,,Survivalist Hunter Armor*,Metallic Sunrise*,Sidearm Targeting*,,,,,,,,
Vigil of Heroes,3213912958,"""6917529080152185116""",,Legendary,Helmet,strikes,Warlock,561,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Vanguard Veteran*,Submachine Gun Targeting*,Heavy Lifting,Fusion Rifle Reserves*,Sword Reserves,,
Tangled Web Boots,537272242,"""6917529081801220402""",,Legendary,Leg Armor,,Warlock,581,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Auto Rifle Dexterity*,Oversize Weapon Dexterity,Arrow Scavenger*,Special Ammo Finder,,,
Prodigal Bond,2800566014,"""6917529080981251492""",,Legendary,Warlock Bond,,Warlock,594,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Invigoration*,Better Already,Hand Cannon Scavenger*,Submachine Gun Scavenger,,,,,,
Wing Theorem,929917162,"""6917529082001397809""",,Legendary,Gauntlets,crucible,Warlock,600,Solar Damage Resistance,1,Vault,false,false,2,4,,5,1,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Crucible Legacy*,Fastball*,Momentum Transfer,Linear Fusion Rifle Scavenger*,Special Ammo Finder,,
Wing Contender,2331227463,"""6917529096360694506""",,Legendary,Gauntlets,crucible,Hunter,658,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Crucible Legacy*,Grenade Launcher Loader*,Rocket Launcher Loader,Special Ammo Finder*,Machine Gun Scavenger,,
Tangled Web Strides,2206284939,"""6917529097101354852""",,Legendary,Leg Armor,,Hunter,679,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Submachine Gun Dexterity*,Oversize Weapon Dexterity,Auto Rifle Scavenger*,Arrow Scavenger,,,
Ancient Apocalypse Mark,3339632627,"""6917529088663675767""",,Legendary,Titan Mark,gambit,Titan,500,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Gambit Leather*,Innervation*,Recuperation,Linear Fusion Rifle Reserves*,Special Ammo Finder,,,,,
Wing Discipline,1464207979,"""6917529086215314574""",,Legendary,Gauntlets,crucible,Titan,497,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Crucible Legacy*,Fusion Rifle Loader*,Light Arms Loader,Fusion Rifle Scavenger*,Special Ammo Finder,,
Ancient Apocalypse Boots,1193646249,"""6917529082672683950""",,Legendary,Leg Armor,gambit,Warlock,600,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Gambit Leather*,Outreach*,Rifle Dexterity,Auto Rifle Scavenger*,Pulse Rifle Scavenger,,
Woven Firesmith Vest,2791841721,"""6917529084752234546""",,Legendary,Chest Armor,blackarmory,Hunter,621,Void Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,New Age Black Armory*,Unflinching Power Aim,Unflinching Rifle Aim*,Scout Rifle Reserves,Special Ammo Finder*,,
Iron Remembrance Vest,279785447,"""6917529082382017927""",,Legendary,Chest Armor,ironbanner,Hunter,600,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,0,3,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Precursor Vex Chrome*,Unflinching Kinetic Aim,Unflinching Large Arms*,Bow Reserves,Hand Cannon Reserves*,,
Vigil of Heroes,1054960580,"""6917529081222861520""",,Legendary,Warlock Bond,strikes,Warlock,595,Arc Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 4 Armor*,Vanguard Veteran*,Insulation*,Innervation,Auto Rifle Reserves*,Submachine Gun Reserves,,,,,
Wing Theorem,4264096388,"""6917529082015857761""",,Legendary,Leg Armor,crucible,Warlock,581,Arc Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Crucible Legacy*,Hand Cannon Dexterity*,Power Dexterity,Auto Rifle Scavenger*,Scout Rifle Scavenger,,
Wing Contender,1084033161,"""6917529086570068212""",,Legendary,Leg Armor,crucible,Hunter,630,Void Damage Resistance,1,Vault,false,false,2,4,,5,2,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Super Mod*,Tier 1 Armor*,Precursor Vex Chrome*,Rocket Launcher Dexterity,Dynamo*,Submachine Gun Scavenger,Special Ammo Finder*,
Prodigal Vest,2766448160,"""6917529086122644790""",,Legendary,Chest Armor,,Hunter,617,Solar Damage Resistance,2,Vault,false,false,2,4,,5,1,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Pulse Rifle Aim*,Unflinching Shotgun Aim,Pulse Rifle Reserves*,Primary Ammo Finder,,,
Vanguard Dare Grips,1768177879,"""6917529085338491160""",,Legendary,Gauntlets,eververse,Hunter,10,Arc Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,2,1,0,,Tier 2 Armor*,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Sidearm Loader*,Kinetic Weapon Loader,Heavy Ammo Finder*,Machine Gun Scavenger,,,
Dragonfly Regalia Mask,2685109601,"""6917529081425807916""",,Legendary,Helmet,eververse,Hunter,10,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Tier 1 Armor*,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Light Reactor*,Remote Connection,Grenade Launcher Reserves*,Sniper Rifle Reserves,,,
Prodigal Grasps,2762426792,"""6917529088575480249""",,Legendary,Gauntlets,,Hunter,634,Solar Damage Resistance,2,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Pulse Rifle Loader*,Momentum Transfer,Grenade Launcher Scavenger*,Sniper Rifle Scavenger,,,
Dragonfly Regalia Vest,190167440,"""6917529079909136734""",,Legendary,Chest Armor,eververse,Hunter,10,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Tier 1 Armor*,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Kinetic Aim*,Unflinching Power Aim,Hand Cannon Reserves*,Scout Rifle Reserves,,,
Wing Contender,1069887756,"""6917529086512954005""",,Legendary,Hunter Cloak,crucible,Hunter,623,Void Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 4 Armor*,Crucible Legacy*,Invigoration*,Recuperation,Sidearm Reserves*,Special Ammo Finder,,,,,
Tangled Web Cloak,25091086,"""6917529089055537399""",,Legendary,Hunter Cloak,,Hunter,620,Void Damage Resistance,2,Vault,false,false,2,4,,5,2,0,0,0,,Tier 2 Armor*,Innervation,Better Already*,Hand Cannon Scavenger*,Linear Fusion Rifle Scavenger,,,,,,
Dragonfly Regalia Wings,3412289997,"""6917529081899254646""",,Legendary,Hunter Cloak,eververse,Hunter,10,Void Damage Resistance,2,Vault,false,false,2,4,,5,1,0,0,0,,Tier 2 Armor*,Insulation*,Recuperation,Rocket Launcher Reserves*,Scout Rifle Scavenger,,,,,,
Scatterhorn Mask,2276115770,"""6917529079812482391""",,Legendary,Helmet,tangled,Hunter,513,Void Damage Resistance,1,Vault,false,false,2,4,,5,1,1,0,2,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Tangled Rust*,Precision Weapon Targeting*,Scatter Projectile Targeting,Sniper Rifle Reserves,Heavy Ammo Finder*,,
Dragonfly Regalia Grasps,3523029112,"""6917529081425806630""",,Legendary,Gauntlets,eververse,Hunter,10,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,3,0,0,,Tier 2 Armor*,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Momentum Transfer*,Sniper Rifle Scavenger*,,,,,
Illicit Collector Vest,2082319037,"""6917529096832216024""",,Legendary,Chest Armor,gambitprime,Hunter,684,Solar Damage Resistance,2,Vault,false,false,2,6,,N/A,N/A,2,0,2,,Collector +1*,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Hand Cannon Aim*,Unflinching Kinetic Aim,Pulse Rifle Reserves*,Scout Rifle Reserves,,
Far Gone Hood,2521426922,"""6917529086749349633""",,Legendary,Hunter Cloak,,Hunter,634,,,Vault,false,false,1,1,,N/A,N/A,0,0,0,,,,,,,,,,,,
Reverie Dawn Gloves,2761343386,"""6917529085236472569""",,Legendary,Gauntlets,dreaming,Warlock,624,Solar Damage Resistance,1,Vault,false,false,2,4,,5,3,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 1 Armor*,Burnished Dreams*,Auto Rifle Loader,Impact Induction,Kinetic Weapon Loader*,Sniper Rifle Scavenger*,Machine Gun Scavenger
Vanguard Dare Grips,1768177879,"""6917529086848948301""",,Legendary,Gauntlets,eververse,Hunter,10,Arc Damage Resistance,1,Vault,false,false,2,5,,5,3,2,1,0,,Tier 1 Armor*,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Auto Rifle Loader*,Impact Induction,Linear Fusion Rifle Scavenger*,Sniper Rifle Scavenger,,,
Nea-Thonis Breather,2932919026,"""6917529086126098787""",,Legendary,Helmet,tangled,Hunter,615,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Super Mod*,Tier 1 Armor*,Precision Weapon Targeting*,Special Ammo Finder*,,,,
Tangled Web Vest,2648545535,"""6917529096351560979""",,Legendary,Chest Armor,,Hunter,663,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,0,3,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Hand Cannon Aim*,Unflinching Pulse Rifle Aim,Pulse Rifle Reserves*,Scout Rifle Reserves,,,
Prodigal Cloak,1693706589,"""6917529087059006785""",,Legendary,Hunter Cloak,,Hunter,623,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Insulation*,Invigoration,Rocket Launcher Reserves*,Rocket Launcher Scavenger,,,,,,
Iron Fellowship Cloak,2083136519,"""6917529086113588422""",,Legendary,Hunter Cloak,ironbanner,Hunter,644,Solar Damage Resistance,1,Vault,false,false,2,5,,N/A,N/A,0,0,0,,Tier 1 Armor*,Iron Strength*,Innervation*,Recuperation,Rocket Launcher Reserves*,Shotgun Scavenger,,,,,
Ancient Apocalypse Grips,2130645994,"""6917529086802919906""",,Legendary,Gauntlets,gambit,Hunter,650,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Paragon Mod*,Tier 2 Armor*,Gambit Leather*,Fastball*,Machine Gun Loader,Fusion Rifle Scavenger*,Shotgun Scavenger,
Tangled Web Strides,2206284939,"""6917529085120995543""",,Legendary,Leg Armor,,Hunter,608,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Sidearm Dexterity*,Perpetuation,Auto Rifle Scavenger*,Sidearm Scavenger,,,
Vigil of Heroes,3916064886,"""6917529084469735136""",,Legendary,Chest Armor,strikes,Hunter,608,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,0,3,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Vanguard Veteran*,Unflinching Fusion Rifle Aim*,Unflinching Submachine Gun Aim,Auto Rifle Reserves*,Primary Ammo Finder,,
Prodigal Strides,3397835010,"""6917529086512954103""",,Legendary,Leg Armor,,Hunter,621,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Power Dexterity*,Machine Gun Dexterity,Pulse Rifle Scavenger*,Submachine Gun Scavenger,,,
Chiron's Cure,2943629439,"""6917529097011965299""",,Rare,Chest Armor,,Warlock,659,,,Vault,false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Metallic Sunrise*,Unflinching Power Aim*,,,,,,,,
Scatterhorn Grasps,218523139,"""6917529080155113446""",,Legendary,Gauntlets,tangled,Hunter,545,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Tangled Rust*,Momentum Transfer*,Large Weapon Loader,Sniper Rifle Scavenger*,Special Ammo Finder,,
Reverie Dawn Casque,2824453288,"""6917529086128798171""",,Legendary,Helmet,dreaming,Hunter,628,Void Damage Resistance,1,Vault,false,false,2,4,,5,4,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Riven's Curse*,Tier 1 Armor*,Burnished Dreams*,Kinetic Weapon Targeting*,Scatter Projectile Targeting,Enhanced Sniper Rifle Targeting,Linear Fusion Rifle Reserves*,Shotgun Reserves
Prodigal Grasps,2762426792,"""6917529086512955639""",,Legendary,Gauntlets,,Hunter,624,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Bow Reloader*,Momentum Transfer,Grenade Launcher Scavenger*,Shotgun Scavenger,,,
Scorned Baron Robes,3183089352,"""6917529086212249359""",,Legendary,Chest Armor,tangled,Warlock,619,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,2,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Resilience Mod*,Tier 1 Armor*,Unflinching Rifle Aim*,Primary Ammo Finder*,,,,
Iron Fellowship Grips,1601698634,"""6917529086110835851""",,Legendary,Gauntlets,ironbanner,Hunter,621,Arc Damage Resistance,3,Vault,false,false,2,5,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Iron Strength*,Linear Fusion Rifle Loader*,Fastball,Linear Fusion Rifle Scavenger*,Sniper Rifle Scavenger,,
Prodigal Robes,1553407343,"""6917529086280455828""",,Legendary,Chest Armor,,Warlock,626,Solar Damage Resistance,2,Vault,false,false,2,4,,5,1,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Large Arms*,Unflinching Machine Gun,Primary Ammo Finder*,Special Ammo Finder,,,
Wing Contender,1127237110,"""6917529086778018321""",,Legendary,Helmet,crucible,Hunter,650,Void Damage Resistance,1,Vault,true,false,2,4,,5,4,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Precursor Vex Chrome*,Hand Cannon Targeting*,Pump Action,Sword Reserves*,Heavy Ammo Finder,,
Clandestine Maneuvers,3786300792,"""6917529079906328733""",,Legendary,Hunter Cloak,,Hunter,504,,,Vault,false,false,1,3,,N/A,N/A,0,0,0,,Masterwork Upgrade*,,,,,,,,,,
Ancient Apocalypse Cloak,3184912423,"""6917529084469733333""",,Legendary,Hunter Cloak,gambit,Hunter,609,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Midnight Talons*,Innervation*,Recuperation,Sniper Rifle Reserves*,Linear Fusion Rifle Scavenger,,,,,
Tangled Web Vest,2648545535,"""6917529087199621158""",,Legendary,Chest Armor,,Hunter,612,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Power Aim*,Unflinching Large Arms,Bow Reserves*,Primary Ammo Finder,,,
Wing Contender,1127237110,"""6917529086781040360""",,Legendary,Helmet,crucible,Hunter,650,Solar Damage Resistance,2,Vault,false,false,2,4,,5,4,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Auto Rifle Targeting*,Linear Fusion Rifle Targeting,Sniper Rifle Reserves*,Sword Reserves,,
Wing Contender,3211001969,"""6917529088569768909""",,Legendary,Chest Armor,crucible,Hunter,627,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Unflinching Pulse Rifle Aim*,Unflinching Power Aim,Hand Cannon Reserves*,Pulse Rifle Reserves,,
Wing Discipline,2124666626,"""6917529084202054049""",,Legendary,Helmet,crucible,Titan,465,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Auto Rifle Targeting*,Hands-On,Grenade Launcher Reserves*,Shotgun Reserves,,
Ancient Apocalypse Strides,1169857924,"""6917529084282444715""",,Legendary,Leg Armor,gambit,Hunter,610,Void Damage Resistance,1,Vault,false,false,2,4,,5,1,2,0,1,,Mobile Hunter Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,Gambit Leather*,Dynamo*,Machine Gun Dexterity,Pulse Rifle Scavenger,Special Ammo Finder*,,
Tangled Web Mask,4261835528,"""6917529087256547029""",,Legendary,Helmet,,Hunter,635,Solar Damage Resistance,3,Vault,false,false,2,4,,5,1,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Linear Fusion Rifle Targeting*,Scatter Projectile Targeting,Linear Fusion Rifle Reserves*,Sniper Rifle Reserves,,,
Wing Discipline,185853176,"""6917529088663674281""",,Legendary,Titan Mark,crucible,Titan,578,Arc Damage Resistance,2,Vault,false,false,2,4,,5,1,0,0,0,,Tier 2 Armor*,Crucible Legacy*,Insulation*,Recuperation,Auto Rifle Reserves*,Arrow Scavenger,,,,,
Vigil of Heroes,1247181362,"""6917529083321508467""",,Legendary,Gauntlets,strikes,Hunter,600,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Vanguard Veteran*,Sniper Rifle Loader*,Impact Induction,Sword Scavenger*,Special Ammo Finder,,
Prodigal Mask,4104298449,"""6917529087256547131""",,Legendary,Helmet,,Hunter,630,Void Damage Resistance,2,Vault,false,false,2,4,,5,1,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Pulse Rifle Targeting*,Remote Connection,Fusion Rifle Reserves*,Rocket Launcher Reserves,,,
Frostveil Grasps,1695429263,"""6917529084758492494""",,Legendary,Gauntlets,eververse,Hunter,10,Solar Damage Resistance,2,Vault,false,false,2,5,The Dawning,N/A,N/A,2,0,1,,Tier 2 Armor*,Heavy Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Rocket Launcher Loader*,Impact Induction,Sword Scavenger*,Heavy Ammo Finder,,,
Prodigal Grasps,2762426792,"""6917529088510644443""",,Legendary,Gauntlets,,Hunter,630,Void Damage Resistance,2,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Fastball*,Impact Induction,Fusion Rifle Scavenger*,Machine Gun Scavenger,,,
Tangled Web Strides,2206284939,"""6917529096375666289""",,Legendary,Leg Armor,,Hunter,659,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Shotgun Dexterity*,Perpetuation,Auto Rifle Scavenger*,Pulse Rifle Scavenger,,,
Wing Discipline,185853176,"""6917529088666850404""",,Legendary,Titan Mark,crucible,Titan,593,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,0,0,0,,Tier 1 Armor*,Crucible Legacy*,Recuperation*,Better Already,Pulse Rifle Reserves*,,,,,,
Ancient Apocalypse Gauntlets,978447246,"""6917529087147282071""",,Legendary,Gauntlets,gambit,Titan,500,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Gambit Leather*,Fusion Rifle Loader*,Scout Rifle Loader,Linear Fusion Rifle Scavenger*,Shotgun Scavenger,,
Ancient Apocalypse Mask,629787707,"""6917529096007980584""",,Legendary,Helmet,gambit,Hunter,633,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Gambit Leather*,Shotgun Targeting*,Kinetic Weapon Targeting,Sword Reserves*,Heavy Ammo Finder,,
Wing Contender,1127237110,"""6917529096005081834""",,Legendary,Helmet,crucible,Hunter,632,Solar Damage Resistance,1,Vault,false,false,2,4,,5,3,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Super Mod*,Tier 1 Armor*,Crucible Legacy*,Scout Rifle Targeting*,Kinetic Weapon Targeting,Fusion Rifle Reserves*,Sword Reserves,
Cloak of Remembrance,995283190,"""6917529082110033072""",,Legendary,Hunter Cloak,ironbanner,Hunter,576,Void Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 3 Armor*,Rusted Iron*,Innervation*,Recuperation,Auto Rifle Reserves*,Fusion Rifle Scavenger,,,,,
Vigil of Heroes,2072877132,"""6917529084824729198""",,Legendary,Leg Armor,strikes,Hunter,624,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Shrouded Stripes*,Rocket Launcher Dexterity*,Traction,Pulse Rifle Scavenger*,Submachine Gun Scavenger,,
Wing Contender,2331227463,"""6917529089049492977""",,Legendary,Gauntlets,crucible,Hunter,650,Arc Damage Resistance,2,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Crucible Legacy*,Pulse Rifle Loader*,Impact Induction,Grenade Launcher Scavenger*,Shotgun Scavenger,,
Scatterhorn Vest,307138509,"""6917529084752241597""",,Legendary,Chest Armor,tangled,Hunter,618,Void Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,1,0,3,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 4 Armor*,Tangled Rust*,Unflinching Grenade Launcher Aim*,Unflinching Machine Gun,Scout Rifle Reserves*,Primary Ammo Finder,,
